,equity
2025-01-01,102384.48549031041
2025-01-02,97789.62447292902
2025-01-03,96443.06499707584
2025-01-04,95074.96679074447
2025-01-05,93815.54136336125
2025-01-06,89066.10806841998
2025-01-07,86728.17493895142
2025-01-08,87349.75359827415
2025-01-09,85767.23277840619
2025-01-10,86348.1824898495
2025-01-11,86083.38524340383
2025-01-12,84323.47613221838
2025-01-13,82928.16315949833
2025-01-14,87665.9700747948
2025-01-15,86526.0002794155
2025-01-16,86966.39739727834
2025-01-17,87609.48126689879
2025-01-18,87186.6275664882
2025-01-19,83184.5084671266
2025-01-20,80439.14534421657
2025-01-21,77188.06800767762
2025-01-22,75615.54404232213
2025-01-23,78271.72735067118
2025-01-24,77122.9235082852
2025-01-25,77108.26679889389
2025-01-26,72586.64703343227
2025-01-27,74215.7031007891
2025-01-28,76345.6462917649
2025-01-29,77439.74606976511
2025-01-30,79919.54580477501
2025-01-31,83639.25338069865
2025-02-01,84394.82720566263
2025-02-02,86640.70010759257
2025-02-03,85612.2115521527
2025-02-04,86686.85362880609
2025-02-05,88052.2227070076
2025-02-06,90982.85254267932
2025-02-07,86796.05306674137
2025-02-08,86340.9993267137
2025-02-09,87729.05023495015
2025-02-10,86618.45923573704
2025-02-11,86193.3201513247
2025-02-12,87407.22853055612
2025-02-13,87336.28147628308
2025-02-14,87267.04477081799
2025-02-15,85176.1602813194
2025-02-16,88116.52117207777
2025-02-17,90398.08516069631
2025-02-18,93178.38901208239
2025-02-19,92699.15650760008
2025-02-20,91451.29398499905
2025-02-21,93617.25142864102
2025-02-22,95590.9753549854
2025-02-23,97361.02305264457
2025-02-24,94314.73264790114
2025-02-25,95053.7383912667
2025-02-26,95053.79209210908
2025-02-27,96237.34748046882
2025-02-28,98094.38735778515
2025-03-01,97102.4407444059
2025-03-02,92848.44837008964
2025-03-03,91409.44114422449
2025-03-04,94667.99867057461
2025-03-05,96574.1028868367
2025-03-06,97018.92088743766
2025-03-07,99421.08875261663
2025-03-08,99250.34953662186
2025-03-09,102166.22595010934
2025-03-10,100945.39668954055
2025-03-11,101380.50997401674
2025-03-12,99633.80208414013
2025-03-13,100417.10861523045
2025-03-14,99577.09830474082
2025-03-15,99270.56444958177
2025-03-16,98157.62374322393
2025-03-17,98817.7575082064
2025-03-18,97108.62266873517
2025-03-19,95908.33613261595
2025-03-20,93470.34266698884
2025-03-21,91434.78757935877
2025-03-22,90674.67342616199
2025-03-23,89935.80754026718
2025-03-24,87431.33223001006
2025-03-25,85611.59471493252
2025-03-26,82023.86652733534
2025-03-27,81789.45138554893
2025-03-28,82001.23411816821
2025-03-29,81162.53882360314
2025-03-30,81015.7495942002
2025-03-31,82324.18438477989
2025-04-01,83344.9664347094
2025-04-02,81961.91972504415
2025-04-03,81772.01675789109
2025-04-04,80793.73197900843
2025-04-05,82075.60277804868
2025-04-06,81816.7052855356
2025-04-07,79922.5482827058
2025-04-08,80668.35092818052
2025-04-09,80166.95256150937
2025-04-10,78112.37447438351
