date,mode,x_cap,x_cd,x_ce,w_ce,scout,x_total,risk_state,reason
2020-01-01,DEF,0.03,0.03,0.0,0.0,0.0,0.03,neutral,mode=DEFENSIVE;regime=RANGE;risk_state=neutral;risk_mult=0.82;dd_scale=1.00;cap_tgt=0.45
2020-01-02,DEF,0.06,0.06,0.0,0.0,0.0,0.06,neutral,mode=DEFENSIVE;regime=RANGE;risk_state=neutral;risk_mult=0.82;dd_scale=1.00;cap_tgt=0.45
2020-01-03,DEF,0.09,0.085714,0.0,0.0,0.004286,0.09,neutral,mode=DEFENSIVE;regime=TREND;risk_state=neutral;risk_mult=0.82;dd_scale=1.00;cap_tgt=0.45
2020-01-04,AGG,0.12,0.0864,0.0336,0.28,0.0,0.12,neutral,mode=AGGRESSIVE;regime=TREND;risk_state=neutral;risk_mult=0.82;dd_scale=1.00;cap_tgt=0.66
2020-01-05,AGG,0.15,0.108,0.042,0.28,0.0,0.15,neutral,mode=AGGRESSIVE;regime=TREND;risk_state=neutral;risk_mult=0.82;dd_scale=1.00;cap_tgt=0.66
2020-01-06,AGG,0.18,0.1296,0.0504,0.28,0.0,0.18,neutral,mode=AGGRESSIVE;regime=TREND;risk_state=neutral;risk_mult=0.82;dd_scale=1.00;cap_tgt=0.66
2020-01-07,AGG,0.21,0.1512,0.0588,0.28,0.0,0.21,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-08,AGG,0.24,0.1728,0.0672,0.28,0.0,0.24,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-09,AGG,0.27,0.1944,0.0756,0.28,0.0,0.27,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-10,AGG,0.3,0.216,0.084,0.28,0.0,0.3,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-11,AGG,0.33,0.2376,0.0924,0.28,0.0,0.33,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-12,AGG,0.36,0.2592,0.1008,0.28,0.0,0.36,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-13,AGG,0.39,0.2808,0.1092,0.28,0.0,0.39,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-14,AGG,0.42,0.3024,0.1176,0.28,0.0,0.42,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-15,AGG,0.45,0.324,0.126,0.28,0.0,0.45,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-16,AGG,0.48,0.3456,0.1344,0.28,0.0,0.48,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-17,AGG,0.51,0.3672,0.1428,0.28,0.0,0.51,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-18,AGG,0.54,0.3888,0.1512,0.28,0.0,0.54,risk_on,mode=AGGRESSIVE;regime=TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-19,AGG,0.57,0.4104,0.1596,0.28,0.0,0.57,neutral,mode=AGGRESSIVE;regime=TREND;risk_state=neutral;risk_mult=0.82;dd_scale=1.00;cap_tgt=0.66
2020-01-20,AGG,0.6,0.432,0.168,0.28,0.0,0.6,neutral,mode=AGGRESSIVE;regime=TREND;risk_state=neutral;risk_mult=0.82;dd_scale=1.00;cap_tgt=0.66
2020-01-21,AGG,0.63,0.3465,0.2835,0.45,0.0,0.63,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-22,AGG,0.66,0.363,0.297,0.45,0.0,0.66,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-23,AGG,0.69,0.3795,0.3105,0.45,0.0,0.69,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-24,AGG,0.72,0.396,0.324,0.45,0.0,0.72,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-25,AGG,0.75,0.4125,0.3375,0.45,0.0,0.75,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-26,AGG,0.78,0.429,0.351,0.45,0.0,0.78,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-27,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-28,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-29,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-30,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-01-31,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-02-01,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-02-02,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-02-03,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-02-04,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-02-05,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-02-06,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-02-07,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
2020-02-08,AGG,0.8,0.44,0.36,0.45,0.0,0.8,risk_on,mode=AGGRESSIVE;regime=SUPER_TREND;risk_state=risk_on;risk_mult=1.05;dd_scale=1.00;cap_tgt=0.80
