ts,from,to,reason
2023-01-04T00:00:00,DEF,AGG,TREND
2023-02-24T00:00:00,AGG,DEF,RANGE
2023-04-22T00:00:00,DEF,AGG,TREND
2023-06-09T00:00:00,AGG,DEF,RANGE
2023-08-05T00:00:00,DEF,AGG,TREND
2023-09-25T00:00:00,AGG,DEF,RANGE
2023-11-21T00:00:00,DEF,AGG,TREND
2024-01-08T00:00:00,AGG,DEF,RANGE
2024-03-08T00:00:00,DEF,AGG,TREND
2024-04-25T00:00:00,AGG,DEF,RANGE
2024-06-21T00:00:00,DEF,AGG,TREND
2024-08-11T00:00:00,AGG,DEF,RANGE
2024-10-07T00:00:00,DEF,AGG,TREND
2024-11-24T00:00:00,AGG,DEF,RANGE
