2026-02-08T23:10:05.162111 HealthCheck overall=WARN upbit={'status': 'missing', 'latency_ms': None} telegram={'status': 'missing'}
2026-02-08T23:10:46.195863 HealthCheck overall=WARN upbit={'status': 'missing', 'latency_ms': None} telegram={'status': 'missing'}
2026-02-08T23:10:50.467284 HealthCheck overall=WARN upbit={'status': 'missing', 'latency_ms': None} telegram={'status': 'missing'}
2026-02-08T23:16:18.085416 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 123.74, 'details': None} telegram={'status': 'OK'}
2026-02-08T23:17:18.715796 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 123.1, 'details': None} telegram={'status': 'OK'}
2026-02-08T23:22:20.539929 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 121.04, 'details': None} telegram={'status': 'OK'}
2026-02-08T23:22:27.113336 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 127.89, 'details': None} telegram={'status': 'OK'}
2026-02-08T23:23:35.974423 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 111.35, 'details': None} telegram={'status': 'OK'}
2026-02-08T23:25:58.581847 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 107.95, 'details': None} telegram={'status': 'OK'}
2026-02-08T23:31:06.090832 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 113.29, 'details': None} telegram={'status': 'OK'}
2026-02-09T00:10:06.406070 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 120.63, 'details': None} telegram={'status': 'OK'}
2026-02-09T00:15:07.003660 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 112.64, 'details': None} telegram={'status': 'OK'}
2026-02-09T00:30:01.190144 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 138.45, 'details': None} telegram={'status': 'OK'}
2026-02-09T07:04:10.094919 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 120.37, 'details': None} telegram={'status': 'OK'}
2026-02-09T07:53:43.459446 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 125.33, 'details': None} telegram={'status': 'OK'}
2026-02-09T08:14:46.899676 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 183.82, 'details': None} telegram={'status': 'OK'}
2026-02-09T08:15:23.354476 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 120.26, 'details': None} telegram={'status': 'OK'}
2026-02-09T08:20:36.579113 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 119.4, 'details': None} telegram={'status': 'OK'}
2026-02-09T08:20:58.299576 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 120.68, 'details': None} telegram={'status': 'OK'}
2026-02-09T18:10:40.107384 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 124.95, 'details': None} telegram={'status': 'OK'}
2026-02-09T18:11:06.023623 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 117.05, 'details': None} telegram={'status': 'OK'}
2026-02-11T23:09:29.215602 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 123.97, 'details': None} telegram={'status': 'OK'}
2026-02-11T23:11:17.305054 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 118.66, 'details': None} telegram={'status': 'OK'}
2026-02-11T23:13:45.175881 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 115.44, 'details': None} telegram={'status': 'OK'}
2026-02-12T07:06:36.125128 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 136.92, 'details': None} telegram={'status': 'OK'}
2026-02-12T07:06:40.750728 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 123.67, 'details': None} telegram={'status': 'OK'}
2026-02-12T07:48:26.351371 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 115.46, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:08:03.440612 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 112.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:08:52.189863 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 117.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:09:26.859992 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 112.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:11:51.567590 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 127.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:14:33.599466 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 117.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:15:38.156834 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 122.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:17:48.584080 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 113.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:40:17.048919 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 127.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:40:55.246591 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 116.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:42:09.364530 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 120.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T13:44:09.989027 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 114.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T15:32:35.925820 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 123.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T15:43:01.030911 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 124.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:05:59.579653 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 114.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:14:40.743796 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 111.02, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:15:25.196083 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 117.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:29:28.663941 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 116.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:39:30.682111 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 122.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:41:50.062638 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 116.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:44:43.302054 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 125.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:44:54.295117 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 117.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:45:19.542005 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 115.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:55:18.352688 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 120.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:55:58.992847 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 116.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:57:46.132898 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 116.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:57:56.307724 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 126.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:58:18.312884 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 119.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T16:58:47.980494 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 141.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T21:59:13.861187 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 113.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T22:13:56.445411 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 113.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T22:14:30.413350 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 116.03, 'details': None} telegram={'status': 'OK'}
2026-02-12T22:16:58.668414 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 128.03, 'details': None} telegram={'status': 'OK'}
2026-02-16T17:52:55.292549 HealthCheck overall=OK upbit={'status': 'OK', 'latency_ms': 185.31, 'details': None} telegram={'status': 'OK'}
